Id,Title,Track,Start Time,Description,Speakers
OYF4N4BJ,From Hype to Value: Real-World Applications of Generative AI and LLMs,,2025-11-19T12:10:00.000Z,,Ganesh Kumar Suresh; Thomas Endres; Ivo Moring; Graeme Lipschitz; Agustin Figueroa Nazar
H33JS39R,The AI Software Architect: Revolution or Illusion?,Developer Enablement & AI Integration,2025-11-19T12:10:00.000Z,"As AI tools evolve rapidly, their influence extends beyond code generation to impact software architecture itself.
From automated design suggestions… more",Lee Blum
JIDIZ99K,Breaking Down Data Warehouses: What to Know Before You Choose,"Data Engineering, Pipelines & DataOps",2025-11-19T12:10:00.000Z,"What exactly is a data warehouse, and how do you choose the right one? This session will break down the essentials, including the differences between… more",Andrew Miller
RIFZL8BG,Real Time Architectures Real Fast,Real-Time & Event-Driven Systems,2025-11-19T12:10:00.000Z,"Real-time data is data that is available almost the instant it is created—often in less than a second. However, building a real-time data architecture… more",Hugh Evans
V8ZUXTCC,Pimp My Llama - How to Customize LLMs for Your Business Case,"LLMs, RAG & Generative AI in Practice",2025-11-19T12:10:00.000Z,"Prompt Engineering, RAG, Fine-Tuning — there are many ways to customise the performance of LLMs for your use case. But which one is right for you?
GPT-4… more",Jonas Mayer; Christoph Bergemann
GAVFD14J,Leveraging Azure PaaS for Real-Time Social Media Analysis by Building Streaming Dashboard,"Data Engineering, Pipelines & DataOps",2025-11-19T13:05:00.000Z,"In this session, we will… more",Raghav Matta; Vivek Singh
N09J0Z9G,From Data Silos to Smart Systems: The AI Integration Playbook,,2025-11-19T13:05:00.000Z,"Marty’s team has been traveling the world, helping businesses of all sizes unlock the power of connected data—and what they've seen is clear: the challenge… more",Marty Weintraub
MTB5IHA0,Databricks as the Foundation for GenAI: What’s New and What Works,AI & Data Platforms,2025-11-19T13:05:00.000Z,"With the rapid rise of generative AI, infrastructure teams are under pressure to deliver scalable, governable, and high-performance AI platforms. This… more",Awadelrahman M. A. Ahmed
QE8BRRSC,Metadata as a Control Plane: Inside the Apache Iceberg REST Catalog,"Data Engineering, Pipelines & DataOps",2025-11-19T13:05:00.000Z,"In the modern lakehouse, metadata is more than just information — it’s infrastructure. This talk dives into the Apache Iceberg REST catalog as the emerging… more",Viktor Kessler
G1ST7Y1L,Building an AI Agent on Top of Your API,Developer Enablement & AI Integration,2025-11-19T13:05:00.000Z,"Integrating LLMs with various APIs to create AI agents unlocks new possibilities for automation and enhanced user experiences. However, this integration… more",Pavel Filonov
CMTZBQGC,Exhibition,,2025-11-19T13:50:00.000Z,"An afternoon break is just what you need to beat that post-lunch slump. It's the perfect chance to grab a coffee, take a breather, or chat with someone… more",
2AONI2SG,AI-Powered Learning Pathways & Skills Development,"Applied AI, Data Science & MLOps",2025-11-19T14:10:00.000Z,"In this session, Norbert Faniszlo demonstrates how AI can be leveraged to design personalized learning pathways for both corporate teams and individual… more",Norbert Faniszlo
WU1D333X,"A Special Screening of ""Predator: Badlands"" Movie",,2025-11-19T15:30:00.000Z,"A special screening of ""Predator: Badlands""! Join us for an unforgettable cinematic experience as we dive into the story of a young Predator outcast from… more",
3H9HBL2D,Registration & Morning Coffee,,2025-11-20T06:00:00.000Z,,
UKM6O91E,How to be an AI First Company,"Applied AI, Data Science & MLOps",2025-11-20T07:00:00.000Z,After the in… more,Alex Northstar Enache
SJENLYYT,Realtime Analytics with StarRocks in Wellness Booking,Real-Time & Event-Driven Systems,2025-11-20T08:10:00.000Z,"By mid-2024, Fresha's data platform had a split identity: Postgres-powered OLTP and ad-hoc analytics, while Snowflake handled BI until both started to… more",Anton Borisov; Emiliano Mancuso
OEUIYVVE,"You Migrated to Apache Iceberg—Now What? Speed, Efficiency, and Cost in the Real World","Data Governance, Quality & Observability",2025-11-20T08:10:00.000Z,"You’ve moved to Apache Iceberg—but is your data lake really delivering on its promises? Are your queries running faster, or are you still hitting bottlenecks?… more",Amit Gilad
IIIC4N4X,The Seven Deadly Sins of Streaming,"Analytics, BI & Data Products",2025-11-20T08:10:00.000Z,"For the last decade, Apache Kafka has powered most of the “streaming-first” stacks. After years in the trenches, we've learned some hard lessons and taken… more",Giannis Polyzos
XA1TCY1Q,From MongoDB to Postgres: Building an Open Source Standard for Document Databases,Cloud Platforms & Architecture,2025-11-20T08:10:00.000Z,"MongoDB has become a widely adopted database across industries due to its ease of use, but its shift away from open-source and licensing challenges have… more",Peter Farkas
G5T28PJY,Advanced Prompt Engineering and Beyond: Ingredients Needed for Working LLM Based Products,"LLMs, RAG & Generative AI in Practice",2025-11-20T08:10:00.000Z,"We’ll start with examples of advanced prompt engineering, then highlight the limitations of various approaches and iterate through retrieval techniques… more",Marcin Szymaniuk; Bartek Sadlej
8894WEWP,Exhibition,,2025-11-20T08:55:00.000Z,"A moment to relax, recharge, and enjoy networking with others.",
907XH1FX,Agentic Automation: Are AI Agents the Future of Digital Work?,,2025-11-20T09:20:00.000Z,,David Villalon; Florian Gather; Olle Pridiuksson; Adebola Olomo; Valentin Nemeth
DLB2T10N,MCP Tools as Your Database engineer,"Data Engineering, Pipelines & DataOps",2025-11-20T09:20:00.000Z,"In this talk, Bobur Umurzokov explores how AI agents and MCP to… more",Bobur Umurzokov
K72NK3YO,How MySQL Configuration Tuning Boosts App Performance,"Analytics, BI & Data Products",2025-11-20T09:20:00.000Z,"Many developers focus on optimizing code but overlook a powerful lever for performance: database configuration tuning. In this talk, Roman Agabekov explores… more",Roman Agabekov
5T1GWZBO,You Don't Need Data Storytelling If You Do Dashboards,"Analytics, BI & Data Products",2025-11-20T09:20:00.000Z,"Who doesn’t want to harness the power of storytelling to create compelling data narratives? Unfortunately, most data storytelling techniques are designed… more",Martynas Jocys
D3DK3QPE,Building an MCP Server for Tesla Before Elon Lost the Plot: Connecting Vehicle Data to LLMs,"LLMs, RAG & Generative AI in Practice",2025-11-20T09:20:00.000Z,"Ever wanted to chat with your car?
This talk demonstrates how to build a Model Context Protocol (MCP) server that connects Tesla… more",Arturo Opsetmoen Amador
FEQ0KJ6A,PipeOps: Why Idempotency Matters,"Data Engineering, Pipelines & DataOps",2025-11-20T10:15:00.000Z,"Data pipelines fail all the time: malformed data, schema changes, deployment errors, you name it. But are you sure that your pipelines will succeed when… more",Axel Neergaard
HXUFWZ4M,Learnings from over 800 Processes Automated. Success and Failure stories,"Applied AI, Data Science & MLOps",2025-11-20T10:15:00.000Z,"During this session, Eduard Shlepetskyy shares his takeaways from automating more than 800 processes in his organization. Beyond best practices, he also… more",Eduard Shlepetskyy
A38E4A20,Scaling Data at Ovoko: The Successful Strategy,"Data Engineering, Pipelines & DataOps",2025-11-20T10:15:00.000Z,"I have experienced the realities of dozens of companies across the most diverse domains, from start-ups in the education industry to major software enterprises… more",Alessandro Pregnolato
QKZ74HFV,"Lets Deeploy Flink - Uncovering Hidden Depths of Yarn, Docker, Kubernetes & Beyond",Cloud Platforms & Architecture,2025-11-20T10:15:00.000Z,"This talk is designed to provide clarity on the crucial first decision when deploying Apache Flink: choosing the right deployment mode.
The various options—Standalone… more",Naci Simsek
U8R5IR44,Exhibition,,2025-11-20T11:00:00.000Z,"A conference lunch break is the perfect mix of food and conversation. You share ideas, swap business cards, and make new connections. By the end, you're… more",
S8PZP8VW,7 Steps to Becoming an AI Pioneer in Your Company,,2025-11-20T11:10:00.000Z,"For many professionals, AI seems like an intimidating field reserved for tech experts, creating a barrier to innovation. This talk demystifies the process… more",Peter Mesarec
H8GP6U7Z,Business of AI and Data Products: From Product Management to ROI,,2025-11-20T12:10:00.000Z,,Devesh Prasad; Pavel Filonov; Viktor Kessler; Alessandro Pregnolato; Arihant Kumar Jain
PF06PT4U,Building Agentic Workflows in Cursor IDE,"LLMs, RAG & Generative AI in Practice",2025-11-20T12:10:00.000Z,"You will gain a framework for designing multi-step, agentic AI processes, along with practical skills to write and implement custom Cursor rules that… more",Olle Pridiuksson
QHYF57OR,Modular & Reusable: A Recipe to Scaling Data Across a Portfolio,"Data Engineering, Pipelines & DataOps",2025-11-20T12:10:00.000Z,"How can a small team of data engineers build a scalable, reusable data platform for a growing portfolio of e-commerce companies? In this talk, we will… more",Matteo Molteni; Johannes Larsson
6XTORTGD,Agile Meets Data Science: Agile Strategies for High-Impact Data Science & Machine Learning Projects,"Applied AI, Data Science & MLOps",2025-11-20T12:10:00.000Z,"Data science, AI, and machine learning thrive on exploration—but without structure, innovation can eas… more",Ganesh Kumar Suresh
0Q7Q36YC,"Event Design with AsyncAPI, DDD, and AI",Developer Enablement & AI Integration,2025-11-20T12:10:00.000Z,"Events are foundational in modern software architectures, especially in systems that use tools like Kafka as an event broker. Events and messages should… more",Annegret Junker
FJMP9UCB,Can AI See You? Your Introduction to Computer Vision and GenAI,"Applied AI, Data Science & MLOps",2025-11-20T12:10:00.000Z,"Your computer can understand the visual world around you—or even create a new one. From Face ID and Snapchat filters to Stable Diffusion, visual AI has… more",Lennard Schiefelbein; Daniel Hirsch
F5ZJ38Y7,Beyond the Dashboard: Building Trustworthy Data with Observability at PAYBACK,"Data Governance, Quality & Observability",2025-11-20T13:05:00.000Z,"Ensuring high-quality, observable data is a key challenge for modern data platforms. At PAYBACK, Natalia Sokołowska focuses on refining data monitoring… more",Natalia Sokolowska
XF27S4RQ,Smarter AI for Smaller Teams: Scaling Automation Without Breaking the Bank,"Applied AI, Data Science & MLOps",2025-11-20T13:05:00.000Z,"In this session, Devesh Prasad—UKRI-recognised Data Scientist and lead of a £245,000 government-funded AI research project—shares how lean teams can build… more",Devesh Prasad
WXJO5LD4,The Protocol Wars: Clash of Titans,,2025-11-20T13:05:00.000Z,"The year 2025 marks the rise of AI agents—intelligent, collaborative systems made up of teams of AI personas capable of solving complex problems across… more",Robert Dzisevic
AIWYS8L1,Theory of Constraints for Data Teams: Faster Delivery with Less Drama,"Data Engineering, Pipelines & DataOps",2025-11-20T13:05:00.000Z,"Data teams usually struggle to deliver data products: different teams and roles involved, dozens of dependencies, constant blockings and delays... the… more",Jose Navarro
3G14G25J,Spark Performance Tuning and Troubleshooting - Scrapping the Bottom of the Barrel for Tricky Cases,"Analytics, BI & Data Products",2025-11-20T13:05:00.000Z,This talk dives into Spark’s quirks in real-world production workloads handling terabytes of data. We’ll start with a quick recap of last year’s lessons… more,Marcin Szymaniuk
6K5M3TWZ,Exhibition,,2025-11-20T13:50:00.000Z,A Pucket game tournament will be held during the break!,
5DC0AXXL,AI Hits Different - An Music Album From the Machine Room,"LLMs, RAG & Generative AI in Practice",2025-11-20T14:10:00.000Z,"What happens when a sabbatical doesn't lead to a book, but to a full music album - with artificial intelligence as co-producer? This talk demonstrates… more",Martin Förtsch; Ivo Moring
B5L5E7AZ,Conference After Party,,2025-11-20T15:10:00.000Z,"Whether you’re up for some friendly competition or just want to unwind, there’s something for everyone at the conference afterparty! Get ready to enjoy… more",
FQTBJPV8,Registration & Morning Coffee,,2025-11-21T06:00:00.000Z,,
ZR11EN42,Data Contracts VS Data Chaos: A Survival Story,"Data Governance, Quality & Observability",2025-11-21T07:00:00.000Z,"Data contracts promise to bring order to the chaos of modern data ecosystems — but do they always deliver? In this session, Eugene Klyuchnikov, Principal… more",Eugene Klyuchnikov
ZMJTLJ7K,"AI, ML, and the Ceph Advantage: Scalable Storage for Smarter Workflows",AI & Data Platforms,2025-11-21T08:10:00.000Z,"The “AI, ML, and the Ceph Advantage: Scalable Storage for Smarter Workflows” talk by Kenneth Tan demonstrates how Ceph provides scalable, resilient storage… more",Kenneth Tan
MPPN73FS,The Hidden Cost of Data Debt,"Data Governance, Quality & Observability",2025-11-21T08:10:00.000Z,"In this talk, Sayantan draws upon a decade of experience working on ML Platforms & Big Data to talk about an often-overlooked challenge in big data systems… more",Sayantan Ghosh
M5LX69ZJ,The Machines Did Not Make Us Redundant (Just Yet),"Applied AI, Data Science & MLOps",2025-11-21T08:10:00.000Z,"A veteran engineer’s perspective on Godel’s ongoing adoption of AI tools in the software product development process.
This session explores our experience… more",Jorge Garcia de Bustos
JT8W8VCD,Leading Without Authority: A CTO’s Journey from Product to Services,AI & Data Platforms,2025-11-21T08:10:00.000Z,This talk shares lessons learned from transitioning between product companies and service organizations—and back—highlighting why sustained credibility… more,Roberto Freato
PYH24R88,Data Observability - System Health to Business Health,"Data Governance, Quality & Observability",2025-11-21T08:10:00.000Z,"Data observability, with roots in the principles of infrastructure/software observability as well as the practices of SRE, transcends them and directly… more",Sathish KS
2LD9LMGY,Exhibition,,2025-11-21T08:55:00.000Z,"A moment to relax, recharge, and enjoy networking with others.",
O4VQQX6M,"The AI-on-Demand platform; Making AI Resources Easy to Find, Use, and Connect for Researchers and Developers",AI & Data Platforms,2025-11-21T09:20:00.000Z,"The AI-on-Demand (AIoD) platform demonstrates how federated, open infrastructures can catalyse AI research and application development. In this talk… more",Ville Tenhunen
HIPWTO2U,AI Lofi HipHop - How Not To Generate AI-Music,"Applied AI, Data Science & MLOps",2025-11-21T09:20:00.000Z,"How good can AI-generated music really be? To answer this question, we created a 24/7 livestream that plays lofi hip-hop—generated in real time by AI… more",Jonas Mayer; Elias Schecke
3PWK22K8,Use dbt and DuckDB Instead of Databricks for Data Processing,"Data Engineering, Pipelines & DataOps",2025-11-21T09:20:00.000Z,"In the world of data engineering, we often reach for powerful tools like Apache Spark. While these tools are built to tackle large-scale data challenges… more",Niels Claeys
OU77DIP3,How Netflix Built a Real-Time Distributed Graph for Internet scale,Real-Time & Event-Driven Systems,2025-11-21T09:20:00.000Z,"As a company grows, so does the quantity and complexity of its data. There can sometimes be hidden relationships in this data that can be used to build… more",Adrian Taruc
QPI5UMDF,AI-Powered Search in Modern E-Commerce,"Applied AI, Data Science & MLOps",2025-11-21T09:20:00.000Z,"In the competitive world of e-commerce, relevant search results directly impact business outcomes. While many platforms use off-the-shelf embedding models… more",Stanko Kuveljic
JFJIMVQ5,"RAG, Tooling, MCP, Agents ... and What is Missing?","LLMs, RAG & Generative AI in Practice",2025-11-21T10:15:00.000Z,"Andreas Buhlmeier explores how LLMs have been a game changer, so the question is now about best practices for augmentation, integration, and next steps… more",Andreas Buhlmeier
JDKO94H0,"The Future of Cybersecurity: Integrating Big Data, AI, and Quantum Computing","Data Privacy, Security & Compliance",2025-11-21T10:15:00.000Z,"The integration of Big Data, artificial intelligence (AI), and quantum computing is set to revolutionize the field of cybersecurity. These technologies… more",Soenil Soebedar
R1T7BXOY,Beyond dbt: Modern SQL Transformation and Lineage with SQLGlot and SQLMesh,"Data Engineering, Pipelines & DataOps",2025-11-21T10:15:00.000Z,"This talk explores the intersection of SQL transformation frameworks and data lineage tracking, focusing on open-source solutions that are reshaping how… more",Tomas Peluritis
3VTYSMYO,Streaming & Eventing for Top Management,Real-Time & Event-Driven Systems,2025-11-21T10:15:00.000Z,"Developers love event-driven architecture (EDA) and streaming with the latest technologies—and they’re often the easiest to evangelize.
The real challenge… more",Patrick Muller; Jens Muller; Fabrizio Lazzaretti
MQGSXV7N,AI for Entrepreneurs: Turning Bold Ideas into Global Ventures,AI & Data Platforms,2025-11-21T10:15:00.000Z,Entrepreneurship is evolving with the rise of AI—and nowhere is this more evident than in the growing tech communities of Africa and other underrepresented… more,Ernesto Spruyt
SFBGS9YB,Exhibition,,2025-11-21T11:00:00.000Z,"A conference lunch break is the perfect mix of food and conversation. You share ideas, swap business cards, and make new connections. By the end, you're… more",
Z1ADFZPF,AI in Action: Utilizing Lithuanian Public Sector Big Data to Make the Country Run Smarter,"Applied AI, Data Science & MLOps",2025-11-21T12:10:00.000Z,This session explores how artificial intelligence is reshaping the way Lithuania leverages public-sector big data to improve governance and deliver smarter… more,Aistis Raudys
QKWO6RDW,Data Contracts,"Data Governance, Quality & Observability",2025-11-21T12:10:00.000Z,"A data contract is a document that defines the structure, format, semantics, quality, and… more",Jochen Christ
E1EPC0L6,Real-Time Data Ingestions for Data Fabric and AI Applications,Real-Time & Event-Driven Systems,2025-11-21T12:10:00.000Z,In today’s data… more,Deniz Sendil
9UX2L803,Delivering enterprise agentic solutions at scale: REED.ai - a hire power,"LLMs, RAG & Generative AI in Practice",2025-11-21T12:10:00.000Z,"How do you scale cutting-edge AI responsibly in high-stakes environments? In this talk, Andy Eva-Dale and Lukasz Madrzak-Wecke will share how Tangent… more",Andy Eva-Dale; Lukasz Madrzak-Wecke
FPLWN3VU,Sleeping Through the Volatility: Building an AI Agent for Automated Crypto Trading,"Data Privacy, Security & Compliance",2025-11-21T12:10:00.000Z,"The cryptocurrency market never sleeps — but you should be able to. In this session, Thomas Kampioni explores how AI and machine learning can be harnessed… more",Thomas Kampioni
1BHO1YZA,Exhibition,,2025-11-21T12:55:00.000Z,"An afternoon break is just what you need to beat that post-lunch slump. It's the perfect chance to grab a coffee, take a breather, or chat with someone… more",
QH2OG8TW,Kahoot Challenge,,2025-11-21T13:15:00.000Z,Join us for a chance to win exciting prizes!,
3NHR301Y,When AI Agent Teams Work (And When They Just Create More Work),"LLMs, RAG & Generative AI in Practice",2025-11-21T13:35:00.000Z,"AI agents are systems that can plan, use tools, and act semi-autonomously. They represent a significant leap in what AI can accomplish. Agent teams working… more",Ben Slavin
