feedback_id,attendee_id,session_id,rating,comments
FB00135,ATT00135,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00138,ATT00138,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00140,ATT00140,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00141,ATT00141,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00143,ATT00143,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00144,ATT00144,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00145,ATT00145,5DC0AXXL,5,"Great presentation, could include more case studies"
FB00147,ATT00147,5DC0AXXL,3,Would benefit from more Q&A time
FB00148,ATT00148,5DC0AXXL,5,"Great presentation, could include more case studies"
FB00149,ATT00149,5DC0AXXL,5,"Great presentation, could include more case studies"
FB00150,ATT00150,5DC0AXXL,1,Could use more interactive elements
FB00151,ATT00151,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00152,ATT00152,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00153,ATT00153,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00154,ATT00154,5DC0AXXL,2,More code examples would be helpful
FB00155,ATT00155,5DC0AXXL,3,Interesting topic but needed more depth
FB00156,ATT00156,5DC0AXXL,5,"Great presentation, could include more case studies"
FB00157,ATT00157,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00158,ATT00158,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00159,ATT00159,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00160,ATT00160,5DC0AXXL,5,"Perfect pace, could include more industry examples"
FB00161,ATT00161,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00162,ATT00162,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00164,ATT00164,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00165,ATT00165,5DC0AXXL,2,Could use more interactive elements
FB00166,ATT00166,5DC0AXXL,3,Would be better with more hands-on exercises
FB00167,ATT00167,5DC0AXXL,5,"Perfect pace, could include more industry examples"
FB00168,ATT00168,5DC0AXXL,5,"Perfect pace, could include more industry examples"
FB00169,ATT00169,5DC0AXXL,5,"Perfect pace, could include more industry examples"
FB00170,ATT00170,5DC0AXXL,2,Could use more interactive elements
FB00171,ATT00171,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00173,ATT00173,5DC0AXXL,2,Slides were hard to read
FB00174,ATT00174,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00175,ATT00175,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00176,ATT00176,5DC0AXXL,2,Slides were hard to read
FB00177,ATT00177,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00178,ATT00178,5DC0AXXL,5,"Fantastic session, consider adding workshop elements"
FB00179,ATT00179,5DC0AXXL,2,Could use more interactive elements
FB00181,ATT00181,5DC0AXXL,3,Would be better with more hands-on exercises
FB00182,ATT00182,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00183,ATT00183,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00184,ATT00184,5DC0AXXL,2,More code examples would be helpful
FB00186,ATT00186,5DC0AXXL,3,Would be better with more hands-on exercises
FB00188,ATT00188,5DC0AXXL,1,Slides were hard to read
FB00189,ATT00189,5DC0AXXL,3,Good content but could use more real-world examples
FB00190,ATT00190,5DC0AXXL,3,Solid content but slides need improvement
FB00191,ATT00191,5DC0AXXL,3,Good content but could use more real-world examples
FB00192,ATT00192,5DC0AXXL,5,"Perfect pace, could include more industry examples"
FB00193,ATT00193,5DC0AXXL,3,Would be better with more hands-on exercises
FB00194,ATT00194,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00196,ATT00196,5DC0AXXL,3,Solid content but slides need improvement
FB00198,ATT00198,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00199,ATT00199,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00200,ATT00200,5DC0AXXL,2,Slides were hard to read
FB00204,ATT00204,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00205,ATT00205,5DC0AXXL,3,Nice presentation but too much theory
FB00206,ATT00206,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00207,ATT00207,5DC0AXXL,3,Nice presentation but too much theory
FB00208,ATT00208,5DC0AXXL,3,Solid content but slides need improvement
FB00209,ATT00209,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00210,ATT00210,5DC0AXXL,2,The pace was too fast to follow
FB00211,ATT00211,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00212,ATT00212,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00213,ATT00213,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00214,ATT00214,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00215,ATT00215,5DC0AXXL,5,"Perfect pace, could include more industry examples"
FB00216,ATT00216,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00217,ATT00217,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00218,ATT00218,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00219,ATT00219,5DC0AXXL,2,Technical issues disrupted the flow
FB00221,ATT00221,5DC0AXXL,2,More code examples would be helpful
FB00222,ATT00222,5DC0AXXL,5,"Fantastic session, consider adding workshop elements"
FB00224,ATT00224,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00225,ATT00225,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00226,ATT00226,5DC0AXXL,3,Nice presentation but too much theory
FB00227,ATT00227,5DC0AXXL,0,More code examples would be helpful
FB00228,ATT00228,5DC0AXXL,3,Good content but could use more real-world examples
FB00229,ATT00229,5DC0AXXL,3,Good overview but could use more detailed explanations
FB00231,ATT00231,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00232,ATT00232,5DC0AXXL,2,Content was too advanced for the target audience
FB00234,ATT00234,5DC0AXXL,5,"Fantastic session, consider adding workshop elements"
FB00235,ATT00235,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00238,ATT00238,5DC0AXXL,3,Solid content but slides need improvement
FB00241,ATT00241,5DC0AXXL,2,Content was too advanced for the target audience
FB00243,ATT00243,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00244,ATT00244,5DC0AXXL,5,"Perfect pace, could include more industry examples"
FB00245,ATT00245,5DC0AXXL,3,Solid content but slides need improvement
FB00247,ATT00247,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00249,ATT00249,5DC0AXXL,3,Would benefit from more Q&A time
FB00250,ATT00250,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00251,ATT00251,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00252,ATT00252,5DC0AXXL,5,"Fantastic session, consider adding workshop elements"
FB00253,ATT00253,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00254,ATT00254,5DC0AXXL,3,Would benefit from more Q&A time
FB00256,ATT00256,5DC0AXXL,2,Content was too advanced for the target audience
FB00257,ATT00257,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00258,ATT00258,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00259,ATT00259,5DC0AXXL,3,Nice presentation but too much theory
FB00260,ATT00260,5DC0AXXL,3,Good content but could use more real-world examples
FB00261,ATT00261,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00262,ATT00262,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00263,ATT00263,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00264,ATT00264,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00266,ATT00266,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00269,ATT00269,5DC0AXXL,3,Good overview but could use more detailed explanations
FB00270,ATT00270,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00273,ATT00273,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00275,ATT00275,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00276,ATT00276,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00278,ATT00278,5DC0AXXL,3,Good content but could use more real-world examples
FB00279,ATT00279,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00280,ATT00280,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00281,ATT00281,5DC0AXXL,5,"Great presentation, could include more case studies"
FB00282,ATT00282,5DC0AXXL,3,Nice presentation but too much theory
FB00284,ATT00284,5DC0AXXL,3,Good overview but could use more detailed explanations
FB00285,ATT00285,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00286,ATT00286,5DC0AXXL,5,"Great presentation, could include more case studies"
FB00287,ATT00287,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00289,ATT00289,5DC0AXXL,3,Would benefit from more Q&A time
FB00290,ATT00290,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00291,ATT00291,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00293,ATT00293,5DC0AXXL,5,"Very informative, would love more deep dives"
FB00295,ATT00295,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00296,ATT00296,5DC0AXXL,3,Good content but could use more real-world examples
FB00297,ATT00297,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00298,ATT00298,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00299,ATT00299,5DC0AXXL,5,"Great presentation, could include more case studies"
FB00300,ATT00300,5DC0AXXL,1,Slides were hard to read
FB00301,ATT00301,5DC0AXXL,3,Would be better with more hands-on exercises
FB00302,ATT00302,5DC0AXXL,3,Good overview but could use more detailed explanations
FB00303,ATT00303,5DC0AXXL,2,Slides were hard to read
FB00304,ATT00304,5DC0AXXL,2,Technical issues disrupted the flow
FB00305,ATT00305,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00306,ATT00306,5DC0AXXL,2,Needed more practical examples
FB00307,ATT00307,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00311,ATT00311,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00312,ATT00312,5DC0AXXL,2,Could use more interactive elements
FB00313,ATT00313,5DC0AXXL,3,Nice presentation but too much theory
FB00314,ATT00314,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00315,ATT00315,5DC0AXXL,3,Nice presentation but too much theory
FB00317,ATT00317,5DC0AXXL,2,More code examples would be helpful
FB00318,ATT00318,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00319,ATT00319,5DC0AXXL,5,"Very informative, would love more deep dives"
FB00320,ATT00320,5DC0AXXL,3,Would be better with more hands-on exercises
FB00321,ATT00321,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00322,ATT00322,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00323,ATT00323,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00325,ATT00325,5DC0AXXL,3,Would benefit from more Q&A time
FB00326,ATT00326,5DC0AXXL,3,Good content but could use more real-world examples
FB00327,ATT00327,5DC0AXXL,3,Good content but could use more real-world examples
FB00328,ATT00328,5DC0AXXL,3,Good content but could use more real-world examples
FB00330,ATT00330,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00332,ATT00332,5DC0AXXL,3,Would benefit from more Q&A time
FB00334,ATT00334,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00335,ATT00335,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00337,ATT00337,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00338,ATT00338,5DC0AXXL,3,Nice presentation but too much theory
FB00340,ATT00340,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00342,ATT00342,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00343,ATT00343,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00344,ATT00344,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00346,ATT00346,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00347,ATT00347,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00348,ATT00348,5DC0AXXL,2,Could use more interactive elements
FB00349,ATT00349,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00350,ATT00350,5DC0AXXL,3,Good overview but could use more detailed explanations
FB00351,ATT00351,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00352,ATT00352,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00353,ATT00353,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00354,ATT00354,5DC0AXXL,2,Could use more interactive elements
FB00355,ATT00355,5DC0AXXL,3,Good content but could use more real-world examples
FB00356,ATT00356,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00357,ATT00357,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00358,ATT00358,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00359,ATT00359,5DC0AXXL,3,Would benefit from more Q&A time
FB00360,ATT00360,5DC0AXXL,3,Would be better with more hands-on exercises
FB00361,ATT00361,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00362,ATT00362,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00363,ATT00363,5DC0AXXL,3,Good content but could use more real-world examples
FB00365,ATT00365,5DC0AXXL,3,Interesting topic but needed more depth
FB00366,ATT00366,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00367,ATT00367,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00369,ATT00369,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00370,ATT00370,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00371,ATT00371,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00372,ATT00372,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00373,ATT00373,5DC0AXXL,2,Content felt disorganized
FB00374,ATT00374,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00375,ATT00375,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00376,ATT00376,5DC0AXXL,5,"Well structured, could add more interactive elements"
FB00377,ATT00377,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00379,ATT00379,5DC0AXXL,3,Would be better with more hands-on exercises
FB00380,ATT00380,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00381,ATT00381,5DC0AXXL,3,Interesting topic but needed more depth
FB00382,ATT00382,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00383,ATT00383,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00384,ATT00384,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00385,ATT00385,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00386,ATT00386,5DC0AXXL,3,Would be better with more hands-on exercises
FB00387,ATT00387,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00389,ATT00389,5DC0AXXL,2,Content felt disorganized
FB00390,ATT00390,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00391,ATT00391,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00392,ATT00392,5DC0AXXL,3,Would be better with more hands-on exercises
FB00393,ATT00393,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00394,ATT00394,5DC0AXXL,3,Good overview but could use more detailed explanations
FB00395,ATT00395,5DC0AXXL,2,Slides were hard to read
FB00396,ATT00396,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00397,ATT00397,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00399,ATT00399,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00400,ATT00400,5DC0AXXL,3,Interesting topic but needed more depth
FB00401,ATT00401,5DC0AXXL,5,"Fantastic session, consider adding workshop elements"
FB00405,ATT00405,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00406,ATT00406,5DC0AXXL,3,Nice presentation but too much theory
FB00408,ATT00408,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00409,ATT00409,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00411,ATT00411,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00412,ATT00412,5DC0AXXL,3,Nice presentation but too much theory
FB00414,ATT00414,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00415,ATT00415,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00417,ATT00417,5DC0AXXL,3,Solid content but slides need improvement
FB00418,ATT00418,5DC0AXXL,5,"Fantastic session, consider adding workshop elements"
FB00419,ATT00419,5DC0AXXL,4,"Fantastic session, consider adding workshop elements"
FB00420,ATT00420,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00425,ATT00425,5DC0AXXL,3,"Decent presentation, could be more interactive"
FB00429,ATT00429,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00430,ATT00430,5DC0AXXL,2,More code examples would be helpful
FB00431,ATT00431,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00432,ATT00432,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00433,ATT00433,5DC0AXXL,3,Good overview but could use more detailed explanations
FB00434,ATT00434,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00436,ATT00436,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00438,ATT00438,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00439,ATT00439,5DC0AXXL,5,"Very informative, would love more deep dives"
FB00440,ATT00440,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00441,ATT00441,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00442,ATT00442,5DC0AXXL,5,"Really enjoyed it, would love more technical details"
FB00444,ATT00444,5DC0AXXL,5,"Very informative, would love more deep dives"
FB00445,ATT00445,5DC0AXXL,4,"Really enjoyed it, would love more technical details"
FB00446,ATT00446,5DC0AXXL,5,"Very informative, would love more deep dives"
FB00447,ATT00447,5DC0AXXL,4,"Perfect pace, could include more industry examples"
FB00448,ATT00448,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00449,ATT00449,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00450,ATT00450,5DC0AXXL,5,"Excellent content, maybe add more advanced topics"
FB00451,ATT00451,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00452,ATT00452,5DC0AXXL,4,"Very informative, would love more deep dives"
FB00453,ATT00453,5DC0AXXL,5,"Amazing content, perhaps add more time for questions"
FB00454,ATT00454,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00456,ATT00456,5DC0AXXL,2,Technical issues disrupted the flow
FB00457,ATT00457,5DC0AXXL,5,"Great presentation, could include more case studies"
FB00459,ATT00459,5DC0AXXL,4,"Well structured, could add more interactive elements"
FB00460,ATT00460,5DC0AXXL,4,"Amazing content, perhaps add more time for questions"
FB00461,ATT00461,5DC0AXXL,1,Content was too advanced for the target audience
FB00463,ATT00463,5DC0AXXL,5,"Great presentation, could include more case studies"
FB00464,ATT00464,5DC0AXXL,4,"Great presentation, could include more case studies"
FB00466,ATT00466,5DC0AXXL,2,Slides were hard to read
FB00467,ATT00467,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00469,ATT00469,5DC0AXXL,4,"Excellent content, maybe add more advanced topics"
FB00470,ATT00470,5DC0AXXL,3,Would benefit from more Q&A time
